P/L,1.,2.,3.,4.,5.,6.,7.,8.,9.,10.,11.,12.,13.,14., ,  
1.,259,259,243,243,243,243,243,243,243,243,243,243,243,243,"Gajser, T.",1.
2.,243,243,259,259,91,91,91,91,3,3,3,3,3,3,"Febvre, R.",2.
3.,70,91,91,91,3,3,3,3,91,91,91,91,91,70,"Fernandez, R.",3.
4.,91,70,3,3,259,259,70,70,70,70,70,70,70,91,"Seewer, J.",4.
5.,3,3,70,70,70,70,259,259,259,259,259,259,259,259,"Coldenhoff, G.",5.
6.,92,92,92,92,92,10,10,10,10,10,10,10,10,10,"Vlaanderen, C.",6.
7.,41,41,10,10,10,92,41,41,41,41,41,41,41,41,"Jonass, P.",7.
8.,10,10,41,41,41,41,92,92,92,92,92,92,92,92,"Guillod, V.",8.
9.,226,226,226,226,226,226,226,226,226,226,226,226,226,226,"Koch, T.",9.
10.,189,189,189,189,189,189,189,189,189,189,189,189,189,189,"Bogers, B.",10.
11.,919,919,919,919,919,919,919,919,919,919,919,919,919,919,"Watson, B.",11.
12.,151,151,151,151,151,151,151,151,77,77,77,77,77,77,"Lupino, A.",12.
13.,48,77,77,77,77,77,77,77,151,151,151,151,151,151,"Kullas, H.",13.
14.,77,48,48,48,48,48,48,48,48,48,48,48,48,48,"Monticelli, I.",14.
15.,811,811,811,811,811,811,811,811,811,811,811,811,811,811,"Sterry, A.",15.
16.,17,17,71,71,71,71,71,71,71,71,71,71,71,71,"Spies, M.",16.
17.,142,71,17,17,17,17,17,17,17,17,17,17,17,17,"Toendel, C.",17.
18.,71,142,142,61,61,61,61,61,61,61,61,61,61,61,"Prado, J.",18.
19.,6,6,61,142,161,161,161,161,161,161,161,161,161,161,"Östlund, A.",19.
20.,161,61,6,6,142,142,142,142,142,142,142,142,142,142,"Haavisto, J.",20.
21.,371,161,161,161,371,371,371,371,371,371,371,371,371,371,"Iacopi, M.",21.
22.,61,371,371,16,16,103,103,103,103,103,103,103,103,103,"Meara, J.",22.
23.,16,16,16,371,103,16,16,16,16,16,16,16,16,16,"Grimshaw, T.",23.
24.,103,103,103,103,162,162,162,500,500,500,500,500,500,-,"Barr, M.",24.
25.,220,220,220,162,500,500,500,6,6,6,6,6,6,-,"Paturel, B.",25.
26.,500,162,162,500,220,6,6,220,220,220,220,220,220,-,"Gabriel, T.",26.
27.,162,500,500,220,6,220,220,337,337,337,337,337,337,-,"McCormick, G.",27.
28.,337,337,337,337,337,337,337,162,-,-,-,-,-,-,"Edmonds, S.",28.
