detail_url,Collection,Volume,Floor Price,% Change,Sales,Social_Media_Links
https://opensea.io/collection/clonex,CLONE X - X TAKASHI MURAKAMI,438 ETH,1.11 ETH,+824%,381,"https://etherscan.io/address/0x49cf6f5d44e70224e2e23fdcdd2c053f30ada28b, http://www.rtfkt.com/, https://discord.gg/rtfkt, https://instagram.com/rtfkt, https://www.twitter.com/RTFKT"
https://opensea.io/collection/parallelalpha,Parallel Alpha,8 ETH,0.14 PRIME,+2%,211,"http://www.parallel.life/, https://discord.gg/paralleltcg, https://instagram.com/parallel_tcg, https://www.twitter.com/ParallelTCG"
https://opensea.io/collection/nakamigos-cloaks,Nakamigos-CLOAKS,12 ETH,0.06 ETH,-33%,174,"https://etherscan.io/address/0x0c56f29b8d90eea71d57cadeb3216b4ef7494abc, https://nakamigos.io/#cloaks, https://www.twitter.com/Nakamigos"
https://opensea.io/collection/lilpudgys,Lil Pudgys,68 ETH,0.48 ETH,-3%,137,"https://etherscan.io/address/0x524cab2ec69124574082676e6f654a18df49a048, https://www.pudgypenguins.com/, https://discord.gg/pudgypenguins, https://instagram.com/pudgypenguins, https://www.twitter.com/pudgypenguins"
https://opensea.io/collection/seizonofficial,Seizon,6 ETH,0.06 ETH,-41%,114,"https://etherscan.io/address/0xa6cd272874ee7c872eb66801eff62784c0b13285, https://discord.gg/seizon, https://www.medium.com/@seizonteam, https://instagram.com/seizonofficial, https://www.twitter.com/SeizonNFT"
https://opensea.io/collection/mittaria-genesis,Mittaria Genesis,12 ETH,0.14 ETH,+361%,91,"https://etherscan.io/address/0x8ff2e72f8faf05384aeb501ba9644c9759d2fd5f, https://mittaria.io/, https://discord.gg/Mittaria, https://www.twitter.com/Mittaria_Origin"
https://opensea.io/collection/milady,Milady Maker,329 ETH,2.09 ETH,+232%,168,"https://etherscan.io/address/0x5af0d9827e0c53e4799bb226655a1de152a425a5, https://miladymaker.net/, https://discord.gg/milady, https://www.twitter.com/miladymaker"
https://opensea.io/collection/otherside-vessels,Otherside Vessels,55 ETH,0.21 ETH,-3%,203,"https://etherscan.io/address/0x5b1085136a811e55b2bb2ca1ea456ba82126a376, https://otherside.xyz/, https://discord.gg/the-otherside, https://www.twitter.com/OthersideMeta"
https://opensea.io/collection/rtfkt-nike-cryptokicks,RTFKT x Nike Dunk Genesis CRYPTOKICKS,27 ETH,0.10 ETH,-50%,255,"https://etherscan.io/address/0xf661d58cfe893993b11d53d11148c4650590c692, https://mnlth.rtfkt.com/, https://discord.gg/rtfkt, https://instagram.com/rtfkt, https://www.twitter.com/RTFKT"
https://opensea.io/collection/blockgames-dice-5555,BlockGames Dice,16 ETH,0.07 ETH,-2%,250,"https://etherscan.io/address/0x0581ddf7a136c6837429a46c6cb7b388a3e52971, http://blockgames.com/, https://discord.gg/blockgames, https://www.medium.com/@blockgames.com, https://t.me/playernetwork, https://www.twitter.com/GetBlockGames"
https://opensea.io/collection/skyborne-genesisimmortals,Skyborne - Genesis Immortals,6 ETH,0.02 ETH,-2%,269,"https://etherscan.io/address/0x963590fabdc1333d03bc3af42a6b2ab33e21e2ee, https://skybornegenesis.com/, https://discord.gg/skybornelegacy, https://www.medium.com/@SkyborneLegacy, https://instagram.com/skybornelegacy, https://www.twitter.com/SkyborneLegacy"
https://opensea.io/collection/deadmigos-official,Deadmigos,6 ETH,< 0.01 ETH,-86%,535,"https://etherscan.io/address/0xd29f5f02f5ffcd102faf467f2f236c601830780d, https://www.deadmigosnft.xyz/, https://www.twitter.com/Deadmigos_NFT"
https://opensea.io/collection/akumu-dragonz,Akumu Dragonz,8 ETH,0.04 ETH,+118%,530,"https://etherscan.io/address/0xc1ad47aeb274157e24a5f01b5857830aef962843, https://akumudragonz.io/, https://discord.gg/invite/jSUWCYm3rF, https://www.twitter.com/AkumuDragonz"
https://opensea.io/collection/arbitrum-odyssey-nft,Arbitrum Odyssey NFT,8 ETH,< 0.01 ETH,+83%,"6,596",https://arbiscan.io//address/0xfae39ec09730ca0f14262a636d2d7c5539353752
