
before simulation 1,1,10
After simulation 1,0,3
before simulation 2,1,11
After simulation 2,0,8
before simulation 3,1,12
After simulation 3,1,7
before simulation 4,1,13
After simulation 4,0,8
before simulation 5,1,14
After simulation 5,0,6
before simulation 6,1,15
After simulation 6,0,7
before simulation 7,1,16
After simulation 7,0,5
before simulation 8,1,17
After simulation 8,1,8
before simulation 9,1,18
After simulation 9,0,8
before simulation 10,1,19
After simulation 10,0,6
before simulation 11,1,20
After simulation 11,0,4
before simulation 12,1,21
After simulation 12,0,5
before simulation 13,1,22
After simulation 13,0,6
before simulation 14,1,23
After simulation 14,0,7
before simulation 15,1,24
After simulation 15,0,4
before simulation 16,1,25
After simulation 16,0,5
before simulation 17,1,26
After simulation 17,0,3
before simulation 18,1,27
After simulation 18,0,8
before simulation 19,1,28
After simulation 19,0,8
before simulation 20,1,29
After simulation 20,0,6
before simulation 21,1,30
After simulation 21,1,6
before simulation 22,1,31
After simulation 22,0,8
before simulation 23,1,32
After simulation 23,0,6
before simulation 24,1,33
After simulation 24,0,9
before simulation 25,1,34
After simulation 25,0,7
before simulation 26,1,35
After simulation 26,0,5
before simulation 27,1,36
After simulation 27,0,6
before simulation 28,1,37
After simulation 28,0,6
before simulation 29,1,38
After simulation 29,1,6
before simulation 30,1,39
After simulation 30,0,6
before simulation 31,1,40
After simulation 31,0,4
before simulation 32,2,10
After simulation 32,1,2
before simulation 33,2,11
After simulation 33,1,6
before simulation 34,2,12
After simulation 34,0,4
before simulation 35,2,13
After simulation 35,0,6
before simulation 36,2,14
After simulation 36,0,6
before simulation 37,2,15
After simulation 37,0,6
before simulation 38,2,16
After simulation 38,0,7
before simulation 39,2,17
After simulation 39,1,5
before simulation 40,2,18
After simulation 40,0,4
before simulation 41,2,19
After simulation 41,0,5
before simulation 42,2,20
After simulation 42,1,6
before simulation 43,2,21
After simulation 43,0,7
before simulation 44,2,22
After simulation 44,0,7
before simulation 45,2,23
After simulation 45,0,6
before simulation 46,2,24
After simulation 46,0,7
before simulation 47,2,25
After simulation 47,0,4
before simulation 48,2,26
After simulation 48,0,8
before simulation 49,2,27
After simulation 49,0,5
before simulation 50,2,28
After simulation 50,0,6
before simulation 51,2,29
After simulation 51,0,3
before simulation 52,2,30
After simulation 52,0,8
before simulation 53,2,31
After simulation 53,0,8
before simulation 54,2,32
After simulation 54,1,6
before simulation 55,2,33
After simulation 55,0,5
before simulation 56,2,34
After simulation 56,0,6
before simulation 57,2,35
After simulation 57,0,5
before simulation 58,2,36
After simulation 58,0,8
before simulation 59,2,37
After simulation 59,0,6
before simulation 60,2,38
After simulation 60,1,7
before simulation 61,2,39
After simulation 61,0,8
before simulation 62,2,40
After simulation 62,0,8
before simulation 63,3,10
After simulation 63,2,6
before simulation 64,3,11
After simulation 64,1,6
before simulation 65,3,12
After simulation 65,1,6
before simulation 66,3,13
After simulation 66,2,4
before simulation 67,3,14
